transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
1,84,22,1,0,0,66,3,40,0
2,542,3,4,1,0,87,1,64,0
3,237,17,3,0,0,49,1,61,0
4,164,4,3,0,1,72,3,34,0
5,31,15,2,0,0,79,0,44,0
6,31,13,0,0,0,90,2,46,0
7,11,18,4,0,0,48,1,28,0
8,362,13,1,0,0,68,1,40,0
9,165,8,3,0,0,80,0,21,0
10,222,5,3,0,0,59,1,34,0
11,4,16,3,0,0,58,2,28,0
12,631,18,0,0,0,30,4,25,0
13,322,11,0,0,0,73,4,68,0
14,43,3,4,0,0,40,2,43,0
15,36,15,1,0,0,37,2,69,0
16,36,10,0,0,0,36,2,66,0
17,65,21,2,0,0,35,1,25,0
18,134,3,0,0,0,71,2,25,0
19,102,16,3,1,0,84,3,24,0
20,62,7,1,0,0,73,2,68,0
21,170,13,4,0,0,76,4,51,0
22,27,1,0,0,0,85,1,49,0
23,62,10,3,0,0,64,2,30,0
24,82,10,2,0,0,95,2,53,0
25,110,23,2,0,0,99,2,35,0
26,277,21,4,1,0,77,3,30,0
27,40,23,4,0,0,85,1,47,0
28,130,5,0,0,0,46,1,18,0
29,162,20,4,0,0,62,3,52,0
30,9,20,3,0,0,85,1,20,0
31,168,13,3,0,0,71,2,47,0
32,34,9,3,0,0,51,2,65,0
33,12,7,0,0,0,42,3,42,0
34,535,6,0,0,0,44,7,50,0
35,607,7,4,0,0,66,5,33,0
36,297,7,0,0,0,65,2,66,0
37,65,22,3,0,0,96,1,20,0
38,18,1,1,0,0,82,2,64,0
39,208,15,3,0,0,64,1,46,0
40,104,8,1,0,0,99,1,31,0
41,23,12,4,0,0,54,1,60,0
42,123,22,2,0,1,36,3,62,0
43,6,11,0,0,0,86,3,22,0
44,432,21,0,0,1,86,0,61,0
45,54,16,3,0,0,94,2,34,0
46,196,1,3,0,0,39,3,46,0
47,67,12,1,0,0,31,3,38,0
48,132,0,0,0,0,30,2,23,0
49,142,18,4,0,1,51,2,41,0
50,37,10,3,0,0,26,1,66,0
51,629,4,0,0,0,30,4,45,0
52,269,0,2,0,0,85,1,34,0
53,505,19,1,0,0,56,1,59,0
54,405,12,3,0,0,53,0,39,0
55,164,7,3,0,0,89,2,41,0
56,459,5,4,0,0,39,1,57,0
57,17,16,3,0,0,34,1,35,0
58,39,11,0,1,1,34,3,45,1
59,8,0,0,0,0,34,2,27,0
60,71,2,0,0,0,61,4,18,0
61,89,13,2,0,0,56,0,54,0
62,57,7,2,1,0,60,2,43,0
63,318,10,3,0,0,88,1,67,0
64,79,13,2,0,0,39,3,43,0
65,59,7,2,0,0,97,1,50,0
66,141,2,4,0,0,40,2,26,0
67,27,6,2,0,0,70,2,35,0
68,292,18,1,1,1,68,1,22,0
69,14,3,1,0,0,59,1,39,0
70,780,15,1,0,0,75,3,27,0
71,266,12,3,0,0,82,2,31,0
72,40,19,0,0,0,29,1,29,0
73,1,18,4,0,1,62,2,49,0
74,304,4,3,0,0,30,1,56,0
75,221,22,0,0,1,75,1,62,0
76,235,4,4,0,1,38,2,53,0
77,266,19,4,0,0,72,0,68,0
78,14,23,4,0,0,36,4,67,0
79,80,3,1,0,0,76,4,64,0
80,22,1,1,0,0,92,1,32,0
81,358,12,1,0,0,83,3,50,0
82,176,15,4,0,1,42,0,33,0
83,72,21,4,1,0,77,1,21,0
84,12,1,1,0,0,55,1,68,0
85,67,18,4,0,0,59,3,20,0
86,71,16,1,0,0,28,2,43,0
87,235,4,1,0,0,33,0,54,0
88,183,17,1,1,0,39,0,51,0
89,393,22,0,0,0,66,4,59,0
90,115,20,4,0,0,83,1,26,0
91,23,17,3,0,0,97,1,61,0
92,225,7,1,0,0,56,0,31,0
93,257,14,3,0,0,69,2,64,0
94,148,12,0,0,0,29,1,50,0
95,265,12,4,0,1,55,4,65,0
96,123,15,1,0,0,49,1,55,0
97,133,21,1,0,0,80,2,22,0
98,100,19,1,0,0,25,2,68,0
99,5,12,3,0,0,85,0,64,0
100,21,19,0,0,0,91,3,45,0
101,6,1,4,0,0,91,1,50,0
102,182,2,0,0,0,66,3,34,0
103,68,14,1,0,0,83,3,38,0
104,128,22,0,0,0,74,2,24,0
105,429,18,3,0,0,58,2,57,0
106,52,12,2,0,0,92,4,52,0
107,95,4,2,0,1,78,6,24,0
108,254,21,4,0,1,38,2,25,0
109,47,5,4,0,0,56,3,68,0
110,14,13,0,1,0,94,0,61,0
111,62,3,4,0,0,32,0,59,0
112,32,21,3,0,0,59,1,48,0
113,478,18,1,0,0,48,3,22,0
114,297,22,1,0,0,27,2,22,0
115,181,6,0,0,0,60,3,41,0
116,369,3,1,1,0,75,1,39,0
117,293,1,0,0,0,81,4,61,0
118,37,6,4,1,0,83,4,30,0
119,402,2,4,0,0,46,1,39,0
120,140,14,3,0,0,61,0,43,0
121,297,0,1,0,0,99,3,18,0
122,408,1,3,1,0,36,2,34,1
123,69,9,2,0,0,45,0,36,0
124,21,15,3,1,1,39,2,19,1
125,47,14,0,0,0,36,4,67,0
126,100,23,0,0,0,80,5,69,0
127,307,14,3,0,0,40,5,28,0
128,355,13,4,0,0,57,4,47,0
129,1,21,2,0,1,67,2,63,0
130,129,13,3,0,1,73,4,40,0
131,97,5,4,1,0,42,1,32,0
132,45,13,3,0,0,40,2,40,0
133,23,16,1,1,1,64,3,29,0
134,74,17,0,0,0,91,1,44,0
135,515,19,1,0,1,86,1,23,0
136,70,18,1,0,0,51,2,47,0
137,132,16,2,0,0,38,3,22,0
138,219,15,4,0,0,90,0,63,0
139,81,7,0,1,0,51,4,55,0
140,642,6,1,0,0,78,1,52,0
141,591,19,0,1,0,84,3,23,0
142,52,11,4,0,0,64,2,31,0
143,124,8,3,0,0,69,1,69,0
144,64,13,1,0,0,92,1,67,0
145,60,19,4,0,0,92,2,34,0
146,7,0,0,0,0,87,2,26,0
147,169,9,4,0,0,64,3,57,0
148,126,16,3,0,0,65,1,48,0
149,10,16,4,0,0,85,5,53,0
150,59,16,0,0,0,89,1,27,0
151,430,3,1,0,0,25,2,44,0
152,49,16,1,0,0,33,7,66,0
153,28,17,2,0,0,99,4,69,0
154,121,19,0,1,0,39,3,22,0
155,764,22,2,0,0,83,1,34,0
156,50,1,2,0,0,90,0,48,0
157,201,7,3,0,0,34,1,31,0
158,258,12,0,0,0,73,2,40,0
159,49,22,1,0,0,35,1,61,0
160,234,21,0,0,0,54,2,46,0
161,83,19,3,1,0,47,3,56,0
162,180,21,0,1,0,46,1,32,0
163,181,14,0,0,1,75,2,64,0
164,138,19,2,0,0,66,3,29,0
165,17,22,0,0,0,53,0,50,0
166,325,8,2,0,0,69,1,57,0
167,70,2,2,0,0,57,0,47,0
168,37,2,4,0,0,63,6,39,0
169,7,1,3,0,0,97,1,47,0
170,161,0,2,0,0,89,2,49,0
171,204,13,0,0,0,74,3,37,0
172,3,16,2,0,0,72,0,55,0
173,129,12,2,0,0,61,3,37,0
174,46,18,2,1,1,57,2,19,0
175,186,22,1,0,0,30,2,48,0
176,34,14,1,0,0,94,2,67,0
177,211,13,1,0,0,79,1,45,0
178,88,1,1,0,1,68,0,20,0
179,497,6,4,0,1,74,4,37,0
180,27,16,2,0,0,78,2,52,0
181,75,17,4,0,0,87,4,36,0
182,22,5,0,0,0,40,3,23,0
183,466,20,3,0,0,71,5,28,0
184,378,7,4,1,0,81,2,62,0
185,54,1,1,0,0,26,3,23,0
186,194,0,1,0,0,61,3,35,0
187,306,15,0,0,0,47,4,64,0
188,146,6,2,0,0,37,1,31,0
189,136,21,3,1,0,89,4,31,0
190,50,23,4,0,0,72,2,18,0
191,18,10,2,0,0,31,1,34,0
192,410,14,2,0,0,55,2,31,0
193,415,12,4,1,0,87,2,48,0
194,180,23,4,0,0,69,4,62,0
195,75,1,4,0,0,80,3,27,0
196,77,13,4,0,0,88,3,55,0
197,233,23,1,0,0,46,0,50,0
198,409,5,2,0,0,87,2,22,0
199,393,8,2,0,0,52,1,33,0
200,272,6,1,0,0,68,0,37,0
201,185,17,2,0,0,38,2,65,0
202,16,23,4,0,0,43,2,39,0
203,32,8,3,0,0,84,1,57,0
204,412,22,2,0,0,26,3,34,0
205,168,3,3,1,0,75,1,67,0
206,2,8,3,0,0,58,2,67,0
207,19,3,1,0,0,75,2,26,0
208,196,11,0,0,0,43,0,55,0
209,1,3,2,0,0,60,2,59,0
210,32,23,1,0,0,50,2,26,0
211,143,19,1,0,0,59,4,32,0
212,212,13,3,0,0,87,1,69,0
213,190,23,2,0,0,28,2,63,0
214,46,23,1,0,0,27,1,31,0
215,224,6,4,0,0,29,0,26,0
216,49,12,1,0,0,53,1,26,0
217,71,21,4,0,0,43,2,50,0
218,247,7,0,0,0,41,0,48,0
219,189,22,4,0,0,58,2,27,0
220,341,4,4,0,0,44,0,27,0
221,193,11,3,0,0,52,3,56,0
222,151,12,1,0,0,97,2,22,0
223,18,19,0,0,0,91,3,35,0
224,83,13,1,0,0,34,3,50,0
225,55,17,4,0,0,45,1,66,0
226,50,23,4,0,0,28,3,35,0
227,650,19,1,0,1,46,1,69,0
228,90,3,0,0,0,95,2,29,0
229,401,20,0,0,0,86,0,42,0
230,180,17,3,0,0,36,4,44,0
231,285,6,4,0,0,35,3,58,0
232,126,14,4,0,0,46,4,26,0
233,155,20,3,0,0,53,2,66,0
234,122,5,1,0,0,85,0,30,0
235,39,15,4,1,0,85,5,66,0
236,231,19,1,0,1,51,1,39,0
237,59,23,0,0,0,71,3,19,0
238,4,7,2,0,0,38,1,56,0
239,187,20,3,0,0,31,2,65,0
240,35,15,4,0,0,39,2,32,0
241,508,21,3,0,0,70,4,40,0
242,554,15,0,0,0,52,2,30,0
243,443,2,0,0,0,67,3,62,0
244,83,16,0,0,0,34,1,64,0
245,3,8,0,0,0,75,1,37,0
246,474,2,2,0,0,27,3,30,0
247,101,19,1,0,0,68,3,44,0
248,612,6,1,0,0,78,3,59,0
249,596,17,2,0,0,58,3,34,0
250,345,11,1,0,0,89,3,48,0
251,63,18,0,0,0,49,0,43,0
252,88,15,1,0,0,87,0,39,0
253,343,21,3,0,0,94,1,58,0
254,69,23,1,0,0,69,1,49,0
255,33,16,3,0,0,92,0,39,0
256,146,19,4,0,0,50,0,45,0
257,495,14,3,0,0,50,0,59,0
258,214,0,3,0,0,50,1,64,0
259,152,1,0,0,0,86,2,18,0
260,18,7,0,0,0,85,0,21,0
261,172,21,0,0,0,26,1,33,0
262,830,1,3,1,0,65,2,60,0
263,27,18,2,0,0,69,0,40,0
264,131,8,0,0,0,38,4,55,0
265,378,8,0,0,0,61,2,58,0
266,243,12,3,0,0,26,3,65,0
267,215,5,4,0,0,29,0,53,0
268,218,14,4,0,1,26,0,31,0
269,80,18,1,0,0,25,0,60,0
270,63,20,4,0,0,72,1,60,0
271,298,14,0,0,0,46,0,20,0
272,299,17,2,0,0,65,1,18,0
273,363,6,1,0,0,49,1,61,0
274,440,10,2,0,0,70,2,33,0
275,129,7,2,0,0,33,5,25,0
276,125,5,0,0,0,85,3,18,0
277,288,7,3,0,0,71,0,38,0
278,189,1,3,0,0,98,3,19,0
279,218,18,3,0,0,27,1,29,0
280,286,15,4,0,0,32,0,31,0
281,397,6,3,0,0,49,2,39,0
282,74,9,0,0,0,60,0,37,0
283,85,11,4,0,0,67,3,34,0
284,18,16,3,0,0,74,1,24,0
285,155,6,2,0,0,87,3,38,0
286,7,21,0,0,0,58,2,51,0
287,113,7,0,0,0,97,1,39,0
288,141,6,1,0,0,34,2,39,0
289,61,3,0,1,0,51,5,38,1
290,161,2,2,0,0,37,2,30,0
291,6,18,0,0,0,75,3,62,0
292,7,14,1,0,0,92,0,23,0
